Correct,Typos,,,,
Albert,Ab,,,,
America,Ameraca,,,,
America,Amercia,,,,
American,Ameracan,,,,
April,Apirl,,,,
Austrian,Austrain,,,,
Badcock,sbadcock,,,,
Bechuanaland,bechuarnia_land,,,,
Botswana,botuania,,,,
Cambridge,Cambrige,,,,
Canada,Canda,,,,
Chautauqua,Chactuquoe,,,,
Chautauqua,Chalktwa,,,,
Chautauqua,Chaqua,,,,
Chautauqua,Chata,,,,
Chautauqua,Chatacqua,,,,
Chautauqua,Chatacque,,,,
Chautauqua,Chatalkwa,,,,
Chautauqua,Chataqua,,,,
Chautauqua,Chataque,,,,
Chautauqua,Chataukowa,,,,
Chautauqua,Chataukwa,,,,
Chautauqua,Chatauwkwa,,,,
Chautauqua,Chateau,,,,
Chautauqua,Chatocqua,,,,
Chautauqua,Chatogua,,,,
Chautauqua,Chatoukouv,,,,
Chautauqua,Chattakqua,,,,
Chautauqua,Chatuaca,,,,
Chautauqua,Chatwakwa,,,,
Chautauqua,Chauetouequa,,,,
Chautauqua,Chauta,,,,
Chautauqua,Chautakye,,,,
Chautauqua,Chautaqua,,,,
Chautauqua,Chautauchua,,,,
Chautauqua,Chautiqua,,,,
Chautauqua,Chautogqwa,,,,
Chautauqua,Chautqua,,,,
Chautauqua,Chawtakque,,,,
Chautauqua,Chawtawque,,,,
Chautauqua,Cheautauqua,,,,
Chautauqua,Chetdacowa,,,,
Chautauqua,Chetoquoi,,,,
Chautauqua,Chicahwa,,,,
Chautauqua,Chictocua,,,,
Chautauqua,Chicugta,,,,
Chautauqua,Chistupa,,,,
Chautauqua,Chitacque,,,,
Chautauqua,Chitalka,,,,
Chautauqua,Chitalkwa,,,,
Chautauqua,Chitaqua,,,,
Chautauqua,Chitauqua,,,,
Chautauqua,Chitoqua,,,,
Chautauqua,Chittiqua,,,,
Chautauqua,Chochatta,,,,
Chautauqua,Chottago,,,,
Chautauqua,Chouativa,,,,
Chautauqua,Chtacu,,,,
Chautauqua,Chuatackqua,,,,
Chautauqua,Chuatuaque,,,,
Chautauqua,Chuatuaton,,,,
Chautauqua,Chutaciqwa,,,,
Chautauqua,Chutouko,,,,
Chautauqua,Cuhtawa,,,,
Chautauqua,Quatauqua,,,,
Chautauqua,Schtaka,,,,
Chautauqua,Shatacua,,,,
Chautauqua,Shatakiwa,,,,
Chautauqua,Shataqua,,,,
Chautauqua,Shautalkwa,,,,
Chautauqua,Shawtachwa,,,,
Chautauqua,Shawtapwa,,,,
Chautauqua,Shawtowa,,,,
Chautauqua,Sheto,,,,
Chautauqua,Shitaka,,,,
Chautauqua,Showtalkaw,,,,
Chautauqua,Showtalkwa,,,,
Chautauqua,Showtucwa,,,,
Chautauqua,catauqua,,,,
Chautauqua,chacactur,,,,
Chautauqua,chatacuia,,,,
Chautauqua,chataqua,,,,
Chautauqua,chataque,,,,
Chautauqua,chatauchuia,,,,
Chautauqua,chatauqua,,,,
Chautauqua,chautaucua,,,,
Chautauqua,chautauqua,,,,
Chautauqua,chetickway,,,,
Chautauqua,chictique,,,,
Chautauqua,chitacwa,,,,
Chautauqua,chitiquea,,,,
Chautauqua,chituaquea,,,,
Chautauqua,chtoawa,,,,
Chautauqua,sechectaquka,,,,
Chautauqua,shatakwa,,,,
Chautauqua,shtalkwa,,,,
Chautauqua,sutalkway,,,,
Christ,Crist,,,,
Christian,Christain,,,,
Christmas,Chrismas,,,,
Christmas,Christ_mas,,,,
Christmas,Christmis,,,,
Christmas,Cristmus,,,,
Christmas,cristmas,,,,
Cinderella,Cinderrella,,,,
Dec,des.,,,,
December,Decmber,,,,
December,Desember,,,,
Dr,Doc,,,,
Dracula,s,,s,,
Dunstan,s,,,,
Easter,Ester,,,,
Easter,ester,,,,
Eastwood,Estwood,,,,
English,ingish,,,,
English,inglish,,,,
Feb,Fab,,,,
February,Febuary,,,,
February,Feburary,,,,
February,feburay,,,,
French,Franch,,,,
French,feirne,,,,
French,fench,,,,
French,freach,,,,
Friday,Firday,,,,
Hallowe,en,,,,
Hitler,Hitlar,,,,
I,a,,,,
I,and,,,,
I,are,,,,
I,has,,,,
I,he,,,,
I,i,,,,
I,if,,,,
I,is,,,,
I,it,,,,
I,iy,,,,
I,ld,,,,
I,we,,,,
I,d,,de,,
I,d,,ed,,
I,d,,ld,,
I,ll,,,,
I,ll,,,,
I,m,,me,,
I,m,,n,,
I,m,,,,
I,ve,,v,,
I,ve,,,,
Indians,Indian,,,,
Ireland,Irland,,,,
Irish,Iresh,,,,
January,Januery,,,,
July,Jaly,,,,
June,Jun,,,,
Leicester,Lester,,,,
Los_Angeles,Las_Angles,,,,
Luke,s,,,,
Mayfield,Mayfeild,,,,
Mediterranean,Meditterranean,,,,
Miss,mis,,,,
Monday,Munday,,,,
Mr,Mis,,,,
Mr,Mrs,,,,
Mrs,Miss,,,,
Mrs,Mixss,,,,
Mrs,Mr,,,,
Mrs,Mrss,,,,
October,Octber,,,,
Pekinese,pikaness,,,,
Philip,s,,,,
Pyrenean,Pyrannean,,,,
Rolls,rowles,,,,
Samaritan,Samariton,,,,
Saturday,Saterday,,,,
Saturday,Satuarday,,,,
Scots,Scotts,,,,
Sept,Sep,,,,
September,Septenber,,,,
September,Septmber,,,,
Sheba,shebre,,,,
Spanish,Spanich,,,,
Sunday,Sanday,,,,
Swedish,sweedish,,,,
Thames,Thems,,,,
Tuesday,Teusday,,,,
Tuesday,Tusday,,,,
Tuesday,Tuseday,,,,
Victorian,vitiorian,,,,
Wednesday,Wdendsdy,,,,
Wednesday,Wedensday,,,,
Wednesday,Wensday,,,,
Welsh,Wesh,,,,
X-rays,exrays,,,,
a,I,,,,
a,ah,,,,
a,an,,,,
a,and,,,,
a,are,,,,
a,as,,,,
a,the,,,,
a-quiver,aquiver,,,,
a_bit,abit,,,,
a_few,afew,,,,
a_little,alitl,,,,
a_little,alittle,,,,
a_long,along,,,,
a_look,alook,,,,
a_lot,alot,,,,
a_lot,alote,,,,
a_lot,lot,,,,
a_museum,amusum,,,,
abattoir,abbatoir,,,,
abhorrence,abhorence,,,,
ability,abbility,,,,
ability,abilaty,,,,
ability,abillity,,,,
ability,abilty,,,,
ability,ablity,,,,
able,aball,,,,
able,abel,,,,
able,abule,,,,
able,alb,,,,
able-bodied,able_bodied,,,,
about,a_belt,,,,
about,a_bot,,,,
about,a_bout,,,,
about,a_but,,,,
about,a_pelt,,,,
about,aboat,,,,
about,aboit,,,,
about,abont,,,,
about,aboo,,,,
about,abot,,,,
about,abote,,,,
about,abou,,,,
about,abought,,,,
about,abould,,,,
about,abound,,,,
about,abowt,,,,
about,abunt,,,,
about,abuot,,,,
about,ad,,,,
about,adeaut,,,,
about,adot,,,,
about,adout,,,,
about,arand,,,,
about,bout,,,,
about,of,,,,
about,out,,,,
about,to,,,,
about,urbote,,,,
above,a,,,,
above,a_barth,,,,
above,a_beyied,,,,
above,a_bof,,,,
above,a_bother,,,,
above,a_bueve,,,,
above,a_buth,,,,
above,a_buve,,,,
above,abaeth,,,,
above,abahe,,,,
above,aboat,,,,
above,aboer,,,,
above,abofe,,,,
above,abost,,,,
above,abou,,,,
above,about,,,,
above,abouth,,,,
above,abouve,,,,
above,abowe,,,,
above,abuf,,,,
above,abuov,,,,
above,abuve,,,,
above,abve,,,,
above,adove,,,,
above,aduv,,,,
above,alowe,,,,
above,aovere,,,,
above,apuve,,,,
above,bealove,,,,
above,beneath,,,,
above,buft,,,,
above,dong,,,,
above,obove,,,,
above,ubove,,,,
above,unbove,,,,
above,uove,,,,
above,upbudh,,,,
above,upbuve,,,,
above,urborth,,,,
abroad,a_broad,,,,
abroad,abraod,,,,
abroad,abrod,,,,
absence,absense,,,,
absence,absents,,,,
absent,apsent,,,,
absolutely,absolutley,,,,
absolutely,absolutly,,,,
absolutely,apselutely,,,,
absorbed,abo,,,,
absorbent,absorbant,,,,
absorption,absorbtion,,,,
abstract,abse,,,,
absurd,Asurb,,,,
absurd,abeserbed,,,,
absurd,abscered,,,,
absurd,abserb,,,,
absurd,abserbd,,,,
absurd,abserbed,,,,
absurd,abserd,,,,
absurd,abserded,,,,
absurd,absered,,,,
absurd,abserid,,,,
absurd,abserred,,,,
absurd,abserve,,,,
absurd,abserved,,,,
absurd,abseved,,,,
absurd,absevered,,,,
absurd,absorb,,,,
absurd,absorbd,,,,
absurd,absorbed,,,,
absurd,absord,,,,
absurd,absored,,,,
absurd,absred,,,,
absurd,absurb,,,,
absurd,absurbe,,,,
absurd,absurbed,,,,
absurd,absurded,,,,
absurd,absured,,,,
absurd,absurred,,,,
absurd,aburd,,,,
absurd,aburve,,,,
absurd,adsurbed,,,,
absurd,apserved,,,,
absurd,apubed,,,,
absurd,obsurd,,,,
absurd,obsured,,,,
abundance,abundence,,,,
abundant,abundent,,,,
abuse,abouse,,,,
academic,accademic,,,,
academic,acedemic,,,,
academically,academicly,,,,
academically,accademically,,,,
accede,acceed,,,,
accelerate,acellerate,,,,
accents,achsends,,,,
accept,acept,,,,
accept,axcept,,,,
accept,except,,,,
acceptable,Acceptable,,,,
acceptable,accepball,,,,
acceptable,acceptably,,,,
acceptable,acceptiable,,,,
acceptable,acceptible,,,,
acceptable,aceptable,,,,
acceptable,aceptible,,,,
acceptable,acetable,,,,
acceptable,ackceptable,,,,
acceptable,ackeptable,,,,
acceptable,acksecetable,,,,
acceptable,ackseptable,,,,
acceptable,acseptable,,,,
acceptable,actable,,,,
acceptable,actceptable,,,,
acceptable,actseptable,,,,
acceptable,actsepterable,,,,
acceptable,asseptable,,,,
acceptable,axceptable,,,,
acceptable,axceptiable,,,,
acceptable,axeptable,,,,
acceptable,ecceptable,,,,
acceptable,exactible,,,,
acceptable,exceptable,,,,
acceptable,excepteable,,,,
acceptable,exceptial,,,,
acceptable,exceptible,,,,
acceptable,exsaptible,,,,
acceptable,exseptable,,,,
acceptable,exsestible,,,,
acceptable,exzeptable,,,,
acceptance,acceptence,,,,
accepted,acepted,,,,
accepted,excepted,,,,
accepted,execpted,,,,
access,acess,,,,
accessibility,accessability,,,,
accessible,accesible,,,,
accessible,accessable,,,,
accessing,accesing,,,,
accession,accesion,,,,
accident,a_canet,,,,
accident,acadent,,,,
accident,acats,,,,
accident,accdient,,,,
accident,accedent,,,,
accident,accend,,,,
accident,accicent,,,,
accident,acciendent,,,,
accident,accierdent,,,,
accident,accsident,,,,
accident,accxident,,,,
accident,acddent,,,,
accident,acdend,,,,
accident,acdent,,,,
accident,acedcedt,,,,
accident,acedent,,,,
accident,aciadent,,,,
accident,aciddent,,,,
accident,acident,,,,
accident,aciedent,,,,
accident,acist,,,,
accident,acs,,,,
accident,acsdent,,,,
accident,acsedent,,,,
accident,acsident,,,,
accident,addinent,,,,
accident,advainet,,,,
accident,afanat,,,,
accident,agisted,,,,
accident,akcdent,,,,
accident,aken,,,,
accident,ancident,,,,
accident,and,,,,
accident,andandn,,,,
accident,andet,,,,
accident,andexns,,,,
accident,andient,,,,
accident,andint,,,,
accident,andires,,,,
accident,anitharent,,,,
accident,anteght,,,,
accident,asabed,,,,
accident,asadun,,,,
accident,ascended,,,,
accident,asde,,,,
accident,asden,,,,
accident,asdent,,,,
accident,ased,,,,
accident,asedend,,,,
accident,aserdent,,,,
accident,asident,,,,
accident,askedent,,,,
accident,askendent,,,,
accident,asterdet,,,,
accident,ataren,,,,
accident,axcident,,,,
accident,axed,,,,
accident,axedent,,,,
accident,axedents,,,,
accident,axedet,,,,
accident,axerdent,,,,
accident,axident,,,,
accident,axidint,,,,
accident,axs,,,,
accident,axseadent,,,,
accident,castan,,,,
accident,esadend,,,,
accident,exded,,,,
accident,exedelt,,,,
accident,exedent,,,,
accident,exiedent,,,,
accident,harcent,,,,
accident,sedent,,,,
accident,xedet,,,,
accidentally,accidently,,,,
accommodate,accmodate,,,,
accommodate,accodate,,,,
accommodate,accomadate,,,,
accommodate,accomadite,,,,
accommodate,accomdate,,,,
accommodate,accomidate,,,,
accommodate,accommadate,,,,
accommodate,accommdate,,,,
accommodate,accommedate,,,,
accommodate,accommidate,,,,
accommodate,accommodation,,,,
accommodate,accommondate,,,,
accommodate,accomnadate,,,,
accommodate,accomnodate,,,,
accommodate,accomodat,,,,
accommodate,accomodate,,,,
accommodate,accomodaty,,,,
accommodate,accomode,,,,
accommodate,accomodiate,,,,
accommodate,accomondate,,,,
accommodate,accondate,,,,
accommodate,acomadate,,,,
accommodate,acomidate,,,,
accommodate,acommodate,,,,
accommodate,acommodiate,,,,
accommodate,acomodate,,,,
accommodate,aconadate,,,,
accommodate,acromodate,,,,
accommodate,eccommodate,,,,
accommodation,accamadation,,,,
accommodation,accamation,,,,
accommodation,accomadation,,,,
accommodation,accomdation,,,,
accommodation,accomdition,,,,
